,decile,variable,value,year
101,2.0,Others,0.02693006347510083,94
102,3.0,Others,0.026014375874625205,94
103,4.0,Others,0.0246869706821208,94
104,5.0,Others,0.023595530233654457,94
105,6.0,Others,0.02308336571590534,94
106,7.0,Others,0.021383265652568203,94
107,8.0,Others,0.02000663178658943,94
108,9.0,Others,0.01827172185937992,94
109,10.0,Others,0.01629788310959349,94
110,1.0,Durables,0.08077808051134368,94
111,2.0,Durables,0.11066202599735515,94
112,3.0,Durables,0.135848506089445,94
113,4.0,Durables,0.1603452562622568,94
114,5.0,Durables,0.18183504256277883,94
115,6.0,Durables,0.20245150905779857,94
116,7.0,Durables,0.21951129210798573,94
117,8.0,Durables,0.24276589895437137,94
118,9.0,Durables,0.27163600227048024,94
119,10.0,Durables,0.28525023782286457,94
120,1.0,Investments,0.004597420088524662,94
121,2.0,Investments,0.009629415322769124,94
122,3.0,Investments,0.014505113097681741,94
123,4.0,Investments,0.014741036563889417,94
124,5.0,Investments,0.016082221724136512,94
125,6.0,Investments,0.020758055740286042,94
